datetime,symbol,open,high,low,close,volume
2017-11-16 09:15:00,NSE:5PAISA,243.1787997,243.1787997,231.01985971,231.01985971,44635.46992378
2017-11-17 09:15:00,NSE:5PAISA,219.46886673,219.46886673,219.46886673,219.46886673,3801.31821174
2017-11-20 09:15:00,NSE:5PAISA,208.52582074,208.52582074,208.49542947,208.49542947,1506.71029076
2017-11-21 09:15:00,NSE:5PAISA,198.09953578,198.09953578,198.09953578,198.09953578,1366.89547121
2017-11-22 09:15:00,NSE:5PAISA,188.22039705,188.22039705,188.22039705,188.22039705,1557.7015779
2017-11-23 09:15:00,NSE:5PAISA,178.82760375,178.82760375,178.82760375,178.82760375,2432.77786031
2017-11-24 09:15:00,NSE:5PAISA,169.89079502,169.89079502,169.89079502,169.89079502,2000.17435979
2017-11-27 09:15:00,NSE:5PAISA,161.4099283,161.4099283,161.4099283,161.4099283,2519.9565125
2017-11-28 09:15:00,NSE:5PAISA,153.35463056,153.35463056,153.35463056,153.35463056,2003.46412025
2017-11-29 09:15:00,NSE:5PAISA,145.69449229,145.69449229,145.69449229,145.69449229,8449.74974198
2017-11-30 09:15:00,NSE:5PAISA,131.13416774,131.13416774,131.13416774,131.13416774,7831.27477547
2017-12-01 09:15:00,NSE:5PAISA,118.03290382,143.90105472,118.03290382,125.51065799,987640.37119485
2017-12-04 09:15:00,NSE:5PAISA,119.15761185,129.43191006,113.10853921,113.86847296,437656.57258105
2017-12-05 09:15:00,NSE:5PAISA,113.32131458,119.55277132,110.03840686,119.55277132,525720.17033972
2017-12-06 09:15:00,NSE:5PAISA,125.51065799,125.51065799,125.51065799,125.51065799,16825.47987361
2017-12-07 09:15:00,NSE:5PAISA,131.77251209,131.77251209,131.77251209,131.77251209,21271.59113555
2017-12-08 09:15:00,NSE:5PAISA,138.33833968,138.33833968,138.33833968,138.33833968,11037.14634392
2017-12-11 09:15:00,NSE:5PAISA,145.23853204,145.23853204,145.23853204,145.23853204,2835.77351668
2017-12-12 09:15:00,NSE:5PAISA,152.47310741,152.47310741,152.47310741,152.47310741,126836.7145424
2017-12-13 09:15:00,NSE:5PAISA,160.07243882,160.07243882,160.07243882,160.07243882,4217.47290996
2017-12-14 09:15:00,NSE:5PAISA,168.06695402,168.06695402,168.06695402,168.06695402,7443.08304117
2017-12-15 09:15:00,NSE:5PAISA,176.45661653,176.45661653,176.45661653,176.45661653,2184.40094556
2017-12-18 09:15:00,NSE:5PAISA,185.27184802,185.27184802,185.27184802,185.27184802,34262.85519282
2017-12-19 09:15:00,NSE:5PAISA,194.51264849,194.51264849,194.51264849,194.51264849,5184.66248525
2017-12-20 09:15:00,NSE:5PAISA,204.20939097,204.20939097,204.20939097,204.20939097,1000.0871799
2017-12-21 09:15:00,NSE:5PAISA,214.3925032,214.3925032,214.3925032,214.3925032,6436.41634035
2017-12-22 09:15:00,NSE:5PAISA,225.09237647,225.09237647,225.09237647,225.09237647,3036.44890475
2017-12-26 09:15:00,NSE:5PAISA,236.33939596,236.33939596,236.33939596,236.33939596,1483.68196754
2017-12-27 09:15:00,NSE:5PAISA,248.13356166,248.13356166,224.54523025,228.01051599,208136.56479493
2017-12-28 09:15:00,NSE:5PAISA,223.02536275,235.88343571,217.40185301,217.85781326,137105.70181886
2017-12-29 09:15:00,NSE:5PAISA,218.16178676,228.74005847,218.16178676,228.61846299,83467.80239579
2018-01-01 09:15:00,NSE:5PAISA,232.84370071,232.84370071,217.18906548,217.31066096,53479.99092098
2018-01-02 09:15:00,NSE:5PAISA,217.03707873,221.77905924,206.45880702,206.45880702,41444.4022774
2018-01-03 09:15:00,NSE:5PAISA,197.94754903,211.44396026,197.94754903,202.14237725,56141.40713327
2018-01-04 09:15:00,NSE:5PAISA,201.89920453,211.96071521,201.53443025,205.30370772,24965.99213234
2018-01-05 09:15:00,NSE:5PAISA,210.31927047,213.99734373,198.79866875,201.04807873,33996.38459554
2018-01-08 09:15:00,NSE:5PAISA,206.67158847,211.07920422,202.08157647,211.07920422,23100.69795141
2018-01-09 09:15:00,NSE:5PAISA,221.62707249,221.62707249,213.99734373,221.62707249,74889.75199586
2018-01-10 09:15:00,NSE:5PAISA,226.39945644,226.39945644,213.99734373,216.48993251,69866.28777316
2018-01-11 09:15:00,NSE:5PAISA,218.86091973,227.31137694,212.78144974,227.31137694,74126.5275691
