datetime,symbol,open,high,low,close,volume
2005-04-22 09:15:00,NSE:3IINFOLTD,590.0,590.0,480.0,490.49999,1652088.0
2005-04-25 09:15:00,NSE:3IINFOLTD,494.50001,498.499985,470.999985,474.749985,510755.0
2005-04-26 09:15:00,NSE:3IINFOLTD,478.25001,481.25,465.49999,467.00001,340077.0
2005-04-27 09:15:00,NSE:3IINFOLTD,467.00001,508.75,461.74999,480.49999,936180.0
2005-04-28 09:15:00,NSE:3IINFOLTD,480.0,493.499985,473.25001,477.750015,370603.0
2005-04-29 09:15:00,NSE:3IINFOLTD,479.24999,484.24999,462.5,467.00001,221237.0
2005-05-02 09:15:00,NSE:3IINFOLTD,510.0,510.0,467.99999,470.75001,177964.0
2005-05-03 09:15:00,NSE:3IINFOLTD,472.249985,476.74999,463.499985,465.75001,168013.0
2005-05-04 09:15:00,NSE:3IINFOLTD,469.000015,473.25001,467.5,469.000015,118738.0
2005-05-05 09:15:00,NSE:3IINFOLTD,472.5,476.25,466.25,467.750015,116427.0
2005-05-06 09:15:00,NSE:3IINFOLTD,502.5,502.5,464.000015,473.499985,93569.0
2005-05-09 09:15:00,NSE:3IINFOLTD,480.0,482.00001,470.0,476.25,86425.0
2005-05-10 09:15:00,NSE:3IINFOLTD,479.749985,479.749985,470.999985,474.50001,49741.0
2005-05-11 09:15:00,NSE:3IINFOLTD,471.25,475.999985,469.000015,472.750015,44553.0
2005-05-12 09:15:00,NSE:3IINFOLTD,473.75,475.0,470.250015,472.00001,38928.0
2005-05-13 09:15:00,NSE:3IINFOLTD,472.5,474.50001,467.5,470.250015,42739.0
2005-05-16 09:15:00,NSE:3IINFOLTD,470.999985,482.00001,470.75001,476.500015,60028.0
2005-05-17 09:15:00,NSE:3IINFOLTD,479.000015,500.0,472.00001,479.749985,299041.0
2005-05-18 09:15:00,NSE:3IINFOLTD,481.25,511.5,476.500015,492.99999,597036.0
2005-05-19 09:15:00,NSE:3IINFOLTD,495.0,509.0,489.000015,491.500015,325837.0
2005-05-20 09:15:00,NSE:3IINFOLTD,494.000015,509.0,485.75001,504.25,268047.0
2005-05-23 09:15:00,NSE:3IINFOLTD,509.5,511.0,492.5,494.50001,86997.0
2005-05-24 09:15:00,NSE:3IINFOLTD,485.0,497.5,482.5,484.000015,52600.0
2005-05-25 09:15:00,NSE:3IINFOLTD,484.000015,486.25,479.000015,480.75001,32261.0
2005-05-26 09:15:00,NSE:3IINFOLTD,483.75,497.5,480.49999,485.49999,66648.0
2005-05-27 09:15:00,NSE:3IINFOLTD,487.5,489.749985,480.0,481.25,39061.0
2005-05-30 09:15:00,NSE:3IINFOLTD,481.25,485.999985,475.0,476.500015,27868.0
2005-05-31 09:15:00,NSE:3IINFOLTD,480.0,480.75001,475.0,476.25,20598.0
2005-06-01 09:15:00,NSE:3IINFOLTD,477.5,487.00001,476.74999,479.50001,33473.0
2005-06-02 09:15:00,NSE:3IINFOLTD,483.25001,483.25001,470.0,472.00001,21615.0
2005-06-03 09:15:00,NSE:3IINFOLTD,479.749985,480.0,472.00001,476.74999,28812.0
2005-06-06 09:15:00,NSE:3IINFOLTD,482.5,484.50001,476.25,477.99999,20938.0
2005-06-07 09:15:00,NSE:3IINFOLTD,477.99999,483.25001,475.0,476.74999,23892.0
2005-06-08 09:15:00,NSE:3IINFOLTD,476.74999,493.499985,476.74999,481.74999,70788.0
2005-06-09 09:15:00,NSE:3IINFOLTD,484.000015,486.500015,475.49999,478.499985,30276.0
2005-06-10 09:15:00,NSE:3IINFOLTD,478.499985,484.50001,474.000015,475.999985,24244.0
2005-06-13 09:15:00,NSE:3IINFOLTD,479.000015,491.74999,472.00001,480.250015,61355.0
2005-06-14 09:15:00,NSE:3IINFOLTD,480.250015,484.50001,476.500015,477.750015,26029.0
