datetime,symbol,open,high,low,close,volume
2020-07-14 09:15:00,NSE:AARTISURF,496.42084761,496.42084761,471.59979538,471.59979538,5730.17030546
2020-07-15 09:15:00,NSE:AARTISURF,448.0592036,448.0592036,448.0592036,448.0592036,1077.19891816
2020-07-16 09:15:00,NSE:AARTISURF,425.70058592,425.70058592,425.70058592,425.70058592,542.15289566
2020-07-17 09:15:00,NSE:AARTISURF,404.42540673,404.42540673,404.42540673,404.42540673,879.22173716
2020-07-20 09:15:00,NSE:AARTISURF,384.23368575,384.23368575,384.23368575,384.23368575,1327.97001409
2020-07-21 09:15:00,NSE:AARTISURF,365.02692676,365.02692676,365.02692676,365.02692676,1423.40516801
2020-07-22 09:15:00,NSE:AARTISURF,346.80512978,346.80512978,346.80512978,346.80512978,1282.28297232
2020-07-23 09:15:00,NSE:AARTISURF,329.46978874,329.46978874,329.46978874,329.46978874,681.24455616
2020-07-24 09:15:00,NSE:AARTISURF,313.02091351,313.02091351,313.02091351,313.02091351,1020.34393285
2020-07-27 09:15:00,NSE:AARTISURF,297.40928552,297.40928552,297.40928552,297.40928552,2439.68803048
2020-07-28 09:15:00,NSE:AARTISURF,282.58558773,282.58558773,282.58558773,282.58558773,7292.66713397
2020-07-29 09:15:00,NSE:AARTISURF,268.50065084,268.50065084,268.50065084,268.50065084,3234.64255726
2020-07-30 09:15:00,NSE:AARTISURF,255.1051578,255.1051578,255.1051578,255.1051578,4392.04761542
2020-07-31 09:15:00,NSE:AARTISURF,242.34989991,242.34989991,242.34989991,242.34989991,8710.995964
2020-08-03 09:15:00,NSE:AARTISURF,230.23486732,230.23486732,230.23486732,230.23486732,3754.45956584
2020-08-04 09:15:00,NSE:AARTISURF,218.76006988,241.70966476,218.76006988,241.70966476,774061.33495006
2020-08-05 09:15:00,NSE:AARTISURF,253.77544925,253.77544925,253.77544925,253.77544925,32421.55537465
2020-08-06 09:15:00,NSE:AARTISURF,266.43222079,266.43222079,266.43222079,266.43222079,58929.17700917
2020-08-07 09:15:00,NSE:AARTISURF,279.72920778,279.72920778,279.72920778,279.72920778,2090.43597784
2020-08-10 09:15:00,NSE:AARTISURF,293.71567802,293.71567802,293.71567802,293.71567802,34858.19760234
2020-08-11 09:15:00,NSE:AARTISURF,308.39161181,308.39161181,308.39161181,308.39161181,4945.36845462
2020-08-12 09:15:00,NSE:AARTISURF,323.80625725,323.80625725,323.80625725,323.80625725,2729.03929502
2020-08-13 09:15:00,NSE:AARTISURF,339.95962419,339.95962419,339.95962419,339.95962419,265223.43014644
2020-08-14 09:15:00,NSE:AARTISURF,356.95021867,356.95021867,356.95021867,356.95021867,128445.56449766
2020-08-17 09:15:00,NSE:AARTISURF,374.77804071,374.77804071,374.77804071,374.77804071,5513.91830775
2020-08-18 09:15:00,NSE:AARTISURF,393.49231869,393.49231869,393.49231869,393.49231869,16504.19002224
2020-08-19 09:15:00,NSE:AARTISURF,413.14232043,413.14232043,413.14232043,413.14232043,23737.97163571
2020-08-20 09:15:00,NSE:AARTISURF,433.77725461,433.77725461,433.77725461,433.77725461,7840.9116352
2020-08-21 09:15:00,NSE:AARTISURF,455.44641859,455.44641859,455.44641859,455.44641859,1651.84037686
2020-08-24 09:15:00,NSE:AARTISURF,478.19905063,478.19905063,478.19905063,478.19905063,8235.8507296
2020-08-25 09:15:00,NSE:AARTISURF,502.08437911,502.08437911,454.31372215,502.08437911,359920.48452295
2020-08-26 09:15:00,NSE:AARTISURF,516.1200876,527.15167184,502.33061961,527.15167184,53314.74720952
2020-08-27 09:15:00,NSE:AARTISURF,553.49940532,553.49940532,553.49940532,553.49940532,51165.42571118
2020-08-28 09:15:00,NSE:AARTISURF,581.12757955,581.12757955,525.87123109,552.90839857,209291.32307733
2020-08-31 09:15:00,NSE:AARTISURF,561.28057556,561.28057556,525.28022434,525.28022434,43142.7811765
2020-09-01 09:15:00,NSE:AARTISURF,499.03098706,499.03098706,499.03098706,499.03098706,5759.61306571
2020-09-02 09:15:00,NSE:AARTISURF,474.11146818,474.11146818,474.11146818,474.11146818,10641.01966186
2020-09-03 09:15:00,NSE:AARTISURF,458.25357014,497.79978456,450.4231124,497.79978456,89797.37296366
2020-09-04 09:15:00,NSE:AARTISURF,496.42084761,522.67010459,474.75168363,522.67010459,43438.22404661
2020-09-07 09:15:00,NSE:AARTISURF,548.77159757,548.77159757,526.95466959,548.77159757,60366.79592351
2020-09-08 09:15:00,NSE:AARTISURF,570.9824808,570.9824808,521.34037634,525.32946259,52469.029303
2020-09-09 09:15:00,NSE:AARTISURF,505.03926511,522.02985959,499.08025486,513.7561591,39065.46651549
2020-09-10 09:15:00,NSE:AARTISURF,513.7561591,536.80428958,502.33061961,517.8437711,33451.03671585
2020-09-11 09:15:00,NSE:AARTISURF,529.86031734,532.81520333,512.1802396,526.80690559,12117.2187448
2020-09-14 09:15:00,NSE:AARTISURF,531.38699859,541.72909958,522.02985959,529.95879384,25371.53719586
2020-09-15 09:15:00,NSE:AARTISURF,540.74413758,540.74413758,527.93963159,531.04228158,14418.83038237
2020-09-16 09:15:00,NSE:AARTISURF,537.78925158,541.72909958,517.1050496,526.21594809,19791.62649444
2020-09-17 09:15:00,NSE:AARTISURF,526.21594809,531.83024133,514.1501636,518.23777559,9872.46209254
2020-09-18 09:15:00,NSE:AARTISURF,523.85201959,523.99978359,494.45092361,500.55769786,21845.51283887
2020-09-21 09:15:00,NSE:AARTISURF,500.55769786,520.05993559,495.43588561,499.72048016,17232.13688777
2020-09-22 09:15:00,NSE:AARTISURF,502.28138136,502.28138136,474.75168363,496.66708811,12233.97451821
2020-09-23 09:15:00,NSE:AARTISURF,494.45092361,503.31558161,477.70656963,483.22236667,11589.27959547
2020-09-24 09:15:00,NSE:AARTISURF,480.66145562,480.66145562,464.90206364,466.87198764,10112.06524493
2020-09-25 09:15:00,NSE:AARTISURF,465.93626389,482.63137962,448.2562157,464.75432919,19975.38992911
2020-09-28 09:15:00,NSE:AARTISURF,462.93213964,480.66145562,448.2069479,471.55055713,19687.05393217
2020-09-29 09:15:00,NSE:AARTISURF,471.79679763,477.70656963,463.91710164,468.79267338,7842.94217039
2020-09-30 09:15:00,NSE:AARTISURF,469.82687363,492.18552087,451.11259565,492.18552087,35603.40401698
2020-10-01 09:15:00,NSE:AARTISURF,512.1802396,516.7603326,498.44000986,512.6727206,20503.32907844
2020-10-05 09:15:00,NSE:AARTISURF,538.28173258,538.28173258,503.31558161,518.73025659,43160.04072561
2020-10-06 09:15:00,NSE:AARTISURF,512.1802396,522.02985959,497.50431566,512.0817631,21951.10066873
2020-10-07 09:15:00,NSE:AARTISURF,507.2554296,517.1050496,501.34565761,513.36220385,19959.14564759
2020-10-08 09:15:00,NSE:AARTISURF,520.99565934,522.02985959,502.42912566,513.2636781,32225.60872884
2020-10-09 09:15:00,NSE:AARTISURF,525.96970759,531.87947958,503.41408766,523.31030034,28355.40865719
2020-10-12 09:15:00,NSE:AARTISURF,523.31030034,531.87947958,508.2403916,517.40052835,11307.03520409
2020-10-13 09:15:00,NSE:AARTISURF,517.1050496,527.93963159,507.2554296,519.07497359,8979.02660905
2020-10-14 09:15:00,NSE:AARTISURF,526.90543134,531.78100308,512.1802396,528.08739559,20392.6649106
2020-10-15 09:15:00,NSE:AARTISURF,533.84940358,534.53888683,518.0900116,521.43890209,13842.15838849
2020-10-16 09:15:00,NSE:AARTISURF,531.87947958,531.87947958,513.4114421,520.89713359,12059.34849189
2020-10-19 09:15:00,NSE:AARTISURF,524.98474559,546.90015007,518.0900116,546.90015007,23998.89540759
2020-10-20 09:15:00,NSE:AARTISURF,574.23284555,574.23284555,561.42833956,574.23284555,61862.28509075
2020-10-21 09:15:00,NSE:AARTISURF,575.0208053,597.87193353,565.36818756,569.06179506,30540.26452135
2020-10-22 09:15:00,NSE:AARTISURF,578.17269355,585.06742754,547.63887157,559.11369856,8291.69044732
2020-10-23 09:15:00,NSE:AARTISURF,563.39826356,580.14261755,559.45841556,569.01255681,11626.84449648
2020-10-26 09:15:00,NSE:AARTISURF,559.45841556,571.27795955,540.59637358,554.53360557,20814.00096247
2020-10-27 09:15:00,NSE:AARTISURF,554.53360557,554.53360557,533.01220558,542.46782108,5380.91825282
2020-10-28 09:15:00,NSE:AARTISURF,543.69902358,554.53360557,517.1050496,522.32533834,7976.95749291
2020-10-29 09:15:00,NSE:AARTISURF,517.15428785,548.42683132,517.1050496,548.42683132,9076.49229816
2020-10-30 09:15:00,NSE:AARTISURF,550.93847457,563.39826356,531.87947958,552.41591757,3957.51308481
2020-11-02 09:15:00,NSE:AARTISURF,546.65390957,579.99485355,534.44036108,568.81555456,14177.1966948
